,repo_name,repo_lang
0,aulao_de_react,HTML
1,awesome_bucket,Ruby
2,awesome_bucket_capistrano,Ruby
3,black-challenge-4-inventory-api,JavaScript
4,black-challenge-4-inventory-api-1,
5,black-personal-finances-miniapp,JavaScript
6,black-websocket-backend,TypeScript
7,black-websocket-frontend,TypeScript
8,black-websocket-intro,TypeScript
9,buy_movies_credentials,
10,calculadora_de_gorjetas,HTML
11,crud-react-rails-todo-list,Ruby
12,e-commece-Api-Prod,Ruby
13,e-commerce-Api-Dev,Ruby
14,e-commerce-frontend-Dev,TypeScript
15,e-commerce-frontend-v2,TypeScript
16,e-commerce-mobile,TypeScript
17,e-commerce-mobile-Dev,TypeScript
18,find-my-coffee-mobile-prod,JavaScript
19,find-my-coffee-prod,Ruby
20,find-my-coffee-web-prod,JavaScript
21,GitHubAutenticationRails,Ruby
22,graphqlapp,Ruby
23,incentivoFlowIA,JavaScript
24,jobs-api-black,TypeScript
25,movie_rental,Ruby
26,onebitbooks,JavaScript
27,onebitflix,Ruby
28,onebitflix_backend,TypeScript
29,onebitflix_frontend,TypeScript
30,onebitfoodV2-api,Ruby
31,onebitfoodV2-nextjs,JavaScript
32,onebitlife,JavaScript
33,OneBitMessage,
34,onebitmessenger,Ruby
35,onebitshop-marketplace-front,TypeScript
36,product_python,Python
37,programador-homeoffice-api,Ruby
38,programador-homeoffice-frontend,JavaScript
39,programmer_hub,Ruby
40,reactnative-marketplace,JavaScript
41,recoil-react,JavaScript
42,rent_cars,Ruby
43,restaurant-reviews-api,TypeScript
44,ruby_twitter,Ruby
45,simulaTRIX,JavaScript
46,smartphone_store,Ruby
47,spotcode,Ruby
48,SpotcodeV2,Ruby
49,toms-jazz-school,CSS
50,Web-Scraping-Target,Ruby
51,yt-astro-tailwind-page,Astro
52,yt-bookings-api,JavaScript
53,yt-css-position,HTML
54,yt-intersection-api,HTML
55,yt-next13-newsletter,JavaScript
