,companys,skills,pub_date
0,SEVENCONSULTANCY,JOBDETAILSMin3yearexperienceinPythonapplicationsrelatedtodatamanagement.PostgresDBexperience3yearsSQLExperienceExperienceinmanaging...,today
1,tataatsuidealabspvt.ltd.,"Numberofpositions21-3yearsofhandsonPythonserver-sidedevelopmentExperienceinusingAWSCloud,LinuxanddeploymentenvironmentPreferrabl...",today
2,ParahitTechnologiesLimited,"Python,Django,HTML,JavaScriptMusthavepracticalknowledgeofcodinginPython/Djangoframework.candealwithJavaScriptcodinginvolvingA...",today
3,LAKSHHUMANRESOURCE,"Powai,MumbaiPythonDeveloperExperience:1to3yrsSkillsRequired:JobSummary:1.ShouldhaveextensiveknowledgeofPython,Djangoframeo...",s ago
4,mspringinfotech,"Position:PythonDeveloperIndustry:IT/SoftwareLocation:Bangalore,ChennaiExperience:5-7yearsSalary:INR5,00,000-7,00,000perannu...",today
5,acquiscenttechnologiespvt.ltd.,Description:-WearelookingforaprofessionalwhocanhandleprocessingofhugedataandmachinelearningusingPythonandJava.Andwhowouldberes...,today
6,WiproTechnologiesLtd,"WiproLimited(NYSE:WIT,BSE:507685,NSE:WIPRO)isaleadingtechnologyservicesandconsultingcompanyfocusedonbuildinginnovativesolu...",today
7,VeevaSystems,"YoumustbebasedinSpainandbeeligibleforemploymentwithintheEU,asVeevadoesnotsponsoremploymentvisaprocessesforthisrole.WhatYou'...",today
8,geekyworks,"Whatwe'relookingforSkillsrequired:Python(Django/Flask),MySQL/NoSQL,Strongfocusonobject-orientedprogrammingandunittesting,...",today
9,zengatv,PythonDeveloper>GurgaonPositions:4ExperienceRequired:2YearsResponsibilities:Translateapplicationstoryboardsandusecasesintofunctional...,s ago
10,AnalyticsVidhya,PythonDeveloper-Gurgaon-(3YearsofExperience)PythonDeveloper-Gurgaon-(3YearsofExperience)AClientofAnalyticsVidhyaGurugramIN...,s ago
11,NuageBiz.Tech,Thisisanopportunityforadynamicprofessionalwith2-4yearsofITexperienceincluding2yearsinPythonLanguage.Wewantyoutobeaself-drive...,ago
12,NuageBiz.Tech,Thisisanopportunityforadynamicprofessionalwith2-4yearsofITexperienceincluding2yearsinPythonLanguage.Wewantyoutobeaself-drive...,ago
13,SEVENCONSULTANCY,"JOBDETAILS1.UnderstandfundamentaldesignprinciplesandbestpracticesfordevelopingRESTAPIsandwebapplications2.Gatherrequirements,scopef...",s ago
14,IQVIA,SoftwareDevelopmentEngineer2(PythonDeveloper):WeareseekinganexperiencedPythonDeveloperwithastrongbackgroundinPythonscriptinglan...,s ago
15,xoniertechnologiespvtltd,RolesandResponsibilitiesCoordinatingwithdevelopmentteamstodetermineapplicationrequirements.WritingscalablecodeusingPythonprogramminglan...,s ago
16,day1technologies,ReadingTime:Lessthan1minuteJobRequirement:Verygoodobject-orientedPython3knowledgeExperienceinDjangoORMGoodknowledgeofGitKnowledgeofP...,s ago
17,eastindiasecuritiesltd.,job_description2yearsofexperienceworkingwithpythonStronganalyticalskillsAbilitytochurnscriptingsolutionswithaquickturnarou...,s ago
18,CONNECTING2WORK,"JobDescriptionWearelookingforcandidateswithProper&verygoodknowledgeinDjangoFlaskframework(Mandatory),CoachingExperience(...",s ago
19,accolitedigital,"AboutThisRoleExperience:6to10yearsSkills:Python,CI/CD,Django,SQL,Java,FastAPIResponsibilities:Develop,train,anddeploym...",s ago
